ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,0.21592243373065292,0.6628119551681195,0.6587283401529976,0.0019500229045368736,0.007724130995745046,0.007724130995745046
ID_1UKOKW,0.035266856431239994,0.035266856431239994,0.035266856431239994,0.00188350097003203,0.00188350097003203,0.00188350097003203
ID_U5H2YK,0.6483417541362747,0.5919701120797012,0.5896619818537627,0.005,0.005,0.005
ID_55957A,0.6483417541362747,0.5919701120797012,0.5896619818537627,0.005,0.005,0.005
ID_N1AC0A,0.01582529798968155,0.01582529798968155,0.01582529798968155,0.0018723009654504621,0.0018723009654504621,0.0018723009654504621
ID_4R3SGT,0.05843693293008361,0.05843693293008361,0.05843693293008361,0.0018915737014094669,0.0018915737014094669,0.0018915737014094669
ID_NVW38U,0.9365029354207436,0.9137767301191959,0.9077400818359722,0.08601924401136185,0.08601924401136185,0.08601924401136185
ID_15LAWX,0.5746591353851628,0.6728434442270058,0.6691149261697207,0.003955777499654048,0.008168796042900384,0.008168796042900384
ID_DPNOLZ,0.26821046077210464,0.6731985411848426,0.6694700231275574,0.0019782608280507494,0.00819712165096002,0.00819712165096002
ID_GXO4MZ,0.1712689912826899,0.17020370040917987,0.17002615193026152,0.0019294317134147274,0.0019294317134147274,0.0019294317134147274
ID_TWJ95S,0.269985945561288,0.673376089663761,0.6696475716064757,0.001980311336630489,0.00819776205852374,0.00819776205852374
ID_F6RQR5,0.05355434975982921,0.05355434975982921,0.05355434975982921,0.001889862320481334,0.001889862320481334,0.001889862320481334
ID_OD0S5Q,0.6483417541362747,0.5919701120797012,0.5896619818537627,0.005,0.005,0.005
ID_L4DEEY,0.9585189468066181,0.9462681017612524,0.9404090019569472,0.13701781041738997,0.13701781041738997,0.13701781041738997
ID_H0WWMP,0.05843693293008361,0.05843693293008361,0.05843693293008361,0.0018915737014094669,0.0018915737014094669,0.0018915737014094669
ID_NK0GGQ,0.03349137164205658,0.03349137164205658,0.03349137164205658,0.0018827137036904688,0.0018827137036904688,0.0018827137036904688
ID_C3E07L,0.58460185020459,0.6753291229318626,0.6716006048745774,0.004072774037818066,0.008327589815737477,0.008327589815737477
