ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,0.7059562355452766,0.6970788115993595,0.666718021704323,0.017964360400611914,0.017964360400611914,0.017964360400611914
ID_1UKOKW,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_U5H2YK,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_55957A,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_N1AC0A,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_4R3SGT,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_NVW38U,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_15LAWX,0.7605523928126668,0.7490117416829746,0.7085306884895927,0.0231966103532874,0.0231966103532874,0.0231966103532874
ID_DPNOLZ,0.7051572673901441,0.696279843444227,0.6659190535491906,0.017914304470720253,0.017914304470720253,0.017914304470720253
ID_GXO4MZ,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_TWJ95S,0.6992981675858388,0.6904207436399218,0.662545632449742,0.017553420316352528,0.017553420316352528,0.017553420316352528
ID_F6RQR5,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_OD0S5Q,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_L4DEEY,0.9599393346379648,0.9563883650595979,0.9501741682974559,0.0873004430871189,0.0873004430871189,0.0873004430871189
ID_H0WWMP,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_NK0GGQ,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_C3E07L,0.7568238747553816,0.7451056751467711,0.7044470734744708,0.022713014927727156,0.022713014927727156,0.022713014927727156
ID_8ZHOIS,0.7885162782423056,0.7767980786336951,0.7306354741149261,0.02673594696957836,0.02673594696957836,0.02673594696957836
ID_WEM7E6,0.9961592243373065,0.9974020636897349,0.9966918697740615,0.7419952875859508,0.8439414370371479,0.8439414370371479
ID_EI276D,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_WY9YFZ,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_VGITCI,0.6996532645436755,0.6907758405977584,0.6629007294075787,0.017563146523191082,0.017563146523191082,0.017563146523191082
ID_NHFYZX,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_PZPP2T,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_YSGK3Y,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_RT29AK,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_AUK2TM,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_QZA91L,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_CWTE3D,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_E04V5D,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_XTGV9Y,0.7605523928126668,0.7490117416829746,0.7085306884895927,0.0231966103532874,0.0231966103532874,0.0231966103532874
ID_ADLLTR,0.7059562355452766,0.6970788115993595,0.666718021704323,0.017964360400611914,0.017964360400611914,0.017964360400611914
ID_938PPA,0.7885162782423056,0.7767980786336951,0.7306354741149261,0.02673594696957836,0.02673594696957836,0.02673594696957836
ID_68PA5Q,0.7605523928126668,0.7490117416829746,0.7085306884895927,0.0231966103532874,0.0231966103532874,0.0231966103532874
ID_EJJIM0,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_9EEUE8,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_EZ948R,0.9894123821384095,0.9895899306173279,0.9856838640811244,0.3355661638261336,0.41243354122668896,0.4439728626698216
ID_E0HFQZ,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_KGXIB9,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_ZXY6XK,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_TEKWLH,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_BWUBOA,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_0KPGAQ,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_3LJO3C,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_WRG2RD,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_4K4IHE,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_U9Z9PF,0.756468777797545,0.7447505781889344,0.7037368795587974,0.022601262776201968,0.022601262776201968,0.022601262776201968
ID_HX6A7Q,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_CB9JIH,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_HP3OJC,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_15CTIR,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_A7QLXN,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_97B102,0.9627801103006582,0.9594066892012098,0.9533700409179862,0.0909052053911498,0.0909052053911498,0.0909052053911498
ID_2JV0A5,0.9498190713396193,0.9464456502401708,0.9381008717310086,0.07127646853299523,0.07127646853299523,0.07127646853299523
ID_4BHS4D,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_475FQ7,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_OOU6SR,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_K9F2L9,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_HVXRWN,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_OD84X2,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_S015G9,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_SV5TAT,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_CDCTHP,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_AROTJX,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_EHAJ1K,0.9952714819427148,0.9942061910692047,0.9940286425902864,0.7015677728683575,0.7093861436767182,0.7422227765985502
ID_IEX25G,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_W88WIY,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_J6RJJ3,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_HXXXEO,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_X4RW56,0.9851512186443693,0.9816002490660025,0.9757411492616972,0.23457240028265708,0.23457240028265708,0.23457240028265708
ID_R34IVE,0.9546128802704146,0.9515945561288027,0.9443150684931507,0.07825669417259014,0.07825669417259014,0.07825669417259014
ID_42HTPO,0.6803004803415762,0.6712455079167408,0.649051948051948,0.015959666179811448,0.015959666179811448,0.015959666179811448
ID_S29RDB,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_D92BW9,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_LM303R,0.7081755915317559,0.6992981675858388,0.6689373776908023,0.018126814741627785,0.018126814741627785,0.018126814741627785
ID_9D1349,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_YXYTNR,0.9839083792919409,0.9807125066714107,0.9750309553460239,0.21534867497757612,0.21534867497757612,0.21534867497757612
ID_LGBT94,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_F5D4F1,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_LCRAB6,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_2S8CNZ,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_1SGSZE,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_KKBQQS,0.9887021882227361,0.9863940579967977,0.9787594734033089,0.30960361182527407,0.30960361182527407,0.30960361182527407
ID_XMDQ0Y,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_J1LSS5,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_UKASHO,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_3RTT5L,0.9544353317914962,0.9514170076498843,0.9439599715353141,0.0774812541332202,0.0774812541332202,0.0774812541332202
ID_HWGAEQ,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_U0LN1Z,0.9137767301191959,0.9054319516100338,0.894601494396015,0.049977950882097104,0.049977950882097104,0.049977950882097104
ID_XCBXS7,0.930998932574275,0.9240745418964597,0.9130665362035225,0.05534547901533692,0.05534547901533692,0.05534547901533692
ID_YFDC0M,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_RCNWC6,0.9464456502401708,0.9430722291407223,0.9343723536737235,0.06843358350648203,0.06843358350648203,0.06843358350648203
ID_671WLE,0.9457354563244974,0.9421844867461305,0.9336621597580502,0.06793558730684485,0.06793558730684485,0.06793558730684485
ID_JXJ5V1,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_QMT9FM,0.9430722291407223,0.9398763565201922,0.9311764810531934,0.06607311149791374,0.06607311149791374,0.06607311149791374
ID_VUL81Z,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_MRZSZ3,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_8HVUID,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_3410TA,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_ETZB50,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_C19QG9,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_L44KDR,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_4DI6LA,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_MLY1IW,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_93HGEN,0.9547904287493328,0.9517721046077211,0.944492616972069,0.07827476609166083,0.07827476609166083,0.07827476609166083
ID_LIHISF,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_WE6D86,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_GPFY9L,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
ID_RODTO0,0.2951978295676926,0.28543266322718375,0.2819704678882761,0.001,0.001,0.001
