ID,Target_07_AUC,Target_90_AUC,Target_120_AUC,Target_07_LogLoss,Target_90_LogLoss,Target_120_LogLoss
ID_LEG1GM,0.3118873865860167,0.6502060131649172,0.6546447251378759,0.001,0.0020769548873601023,0.002175417727809755
ID_1UKOKW,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_U5H2YK,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_55957A,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_N1AC0A,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_4R3SGT,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_NVW38U,0.9359702899839887,0.9313540295321118,0.9288683508272549,0.029961748546238964,0.029961748546238964,0.029961748546238964
ID_15LAWX,0.6476315602206013,0.6888228073296567,0.687935064935065,0.0011924965163596568,0.0025707830491833385,0.0025707830491833385
ID_DPNOLZ,0.3118873865860167,0.641772460416296,0.6721332503113325,0.001,0.0019689801892957704,0.0023633769101836246
ID_GXO4MZ,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_TWJ95S,0.3118873865860167,0.6403520725849493,0.6696475716064757,0.001,0.0019498077122390744,0.002326895548159095
ID_F6RQR5,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_OD0S5Q,0.773158334815869,0.7012512008539405,0.7000083615015121,0.0027696541223807014,0.0027696541223807014,0.0027696541223807014
ID_L4DEEY,0.9370355808574986,0.9327744173634585,0.929933641700765,0.030823901768055006,0.030823901768055006,0.030823901768055006
ID_H0WWMP,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_NK0GGQ,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_C3E07L,0.6605925991816403,0.7120816580679594,0.7108388187155311,0.001289870007972623,0.0029308045116512617,0.0029308045116512617
ID_8ZHOIS,0.3118873865860167,0.6699138943248533,0.6686710549724248,0.001,0.0023119653276361548,0.0023119653276361548
ID_WEM7E6,0.9950939334637965,0.9959816758583883,0.9959816758583883,0.5166257216348411,0.6568159067465454,0.6568159067465454
ID_EI276D,0.9212337662337662,0.916972602739726,0.9128889877246041,0.021393455662866618,0.021393455662866618,0.021393455662866618
ID_WY9YFZ,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_VGITCI,0.3118873865860167,0.650649884362213,0.6755066714107809,0.001,0.0020844996959592356,0.002402289962802554
ID_NHFYZX,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_PZPP2T,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_YSGK3Y,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_RT29AK,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_AUK2TM,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_QZA91L,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_CWTE3D,0.9578087528909446,0.9537251378758228,0.9517721046077211,0.05317691972549317,0.05317691972549317,0.05317691972549317
ID_E04V5D,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_XTGV9Y,0.6476315602206013,0.6888228073296567,0.687935064935065,0.0011924965163596568,0.0025707830491833385,0.0025707830491833385
ID_ADLLTR,0.3118873865860167,0.6502060131649172,0.6546447251378759,0.001,0.0020769548873601023,0.002175417727809755
ID_938PPA,0.3118873865860167,0.6699138943248533,0.6686710549724248,0.001,0.0023119653276361548,0.0023119653276361548
ID_68PA5Q,0.6476315602206013,0.6888228073296567,0.687935064935065,0.0011924965163596568,0.0025707830491833385,0.0025707830491833385
ID_EJJIM0,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_9EEUE8,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_EZ948R,0.9853287671232877,0.984973670165451,0.9828430884184309,0.25313193448637844,0.2939292509177935,0.2939292509177935
ID_E0HFQZ,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_KGXIB9,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_ZXY6XK,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_TEKWLH,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_BWUBOA,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_0KPGAQ,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_3LJO3C,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_WRG2RD,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_4K4IHE,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_U9Z9PF,0.6510049813200499,0.7032042341220424,0.7019613947696139,0.0012253025268502663,0.0027928244512652454,0.0027928244512652454
ID_HX6A7Q,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_CB9JIH,0.9375682262942537,0.9333070628002136,0.9306438356164383,0.03111916782297973,0.03111916782297973,0.03111916782297973
ID_HP3OJC,0.9379233232520904,0.9336621597580502,0.930998932574275,0.03134070321879172,0.03134070321879172,0.03134070321879172
ID_15CTIR,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_A7QLXN,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_97B102,0.9396988080412737,0.9356151930261519,0.9329519658423768,0.03275572200903608,0.03275572200903608,0.03275572200903608
ID_2JV0A5,0.9668637253157801,0.9640229496530867,0.9613597224693115,0.07766338261211149,0.07766338261211149,0.07766338261211149
ID_4BHS4D,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_475FQ7,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_OOU6SR,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_K9F2L9,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_HVXRWN,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_OD84X2,0.937745774773172,0.9334846112791318,0.9308213840953568,0.0313206445308113,0.0313206445308113,0.0313206445308113
ID_S015G9,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_SV5TAT,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_CDCTHP,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_AROTJX,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_EHAJ1K,0.9975796121686533,0.9974020636897349,0.9974020636897349,0.7781438240479174,0.7781438240479174,0.7781438240479174
ID_IEX25G,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_W88WIY,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_J6RJJ3,0.9336621597580502,0.9288683508272549,0.9263826721223981,0.02901629841372068,0.02901629841372068,0.02901629841372068
ID_HXXXEO,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_X4RW56,0.9689943070628002,0.9663310798790251,0.9634903042163316,0.08631460777991504,0.08631460777991504,0.08631460777991504
ID_R34IVE,0.9665086283579434,0.96366785269525,0.9610046255114748,0.07705656661816873,0.07705656661816873,0.07705656661816873
ID_42HTPO,0.3118873865860167,0.6447907845579078,0.6694700231275574,0.001,0.0020022480566276543,0.002326066922397109
ID_S29RDB,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_D92BW9,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_LM303R,0.3118873865860167,0.6343154243017257,0.6460336239103363,0.001,0.001876859414459226,0.00206594737984818
ID_9D1349,0.7926886674968866,0.7242437288738658,0.7214917274506316,0.003,0.003,0.003
ID_YXYTNR,0.9642004981320049,0.9613597224693115,0.9586964952855364,0.07171595075038914,0.07171595075038914,0.07171595075038914
ID_LGBT94,0.9318866749688667,0.9269153175591532,0.9244296388542964,0.028098569475211648,0.028098569475211648,0.028098569475211648
ID_F5D4F1,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_LCRAB6,0.7841663405088063,0.7154550791674079,0.7142122398149795,0.002999094896042806,0.002999094896042806,0.002999094896042806
ID_2S8CNZ,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_1SGSZE,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
ID_KKBQQS,0.9769839886141256,0.9743207614303505,0.9704146948941469,0.1275709308205207,0.1275709308205207,0.1275709308205207
ID_XMDQ0Y,0.3118873865860167,0.2700747198007472,0.2679441380537271,0.001,0.001,0.001
