ID,Target_07_AUC,Target_07_LogLoss,Target_90_AUC,Target_90_LogLoss,Target_120_AUC,Target_120_LogLoss
ID_6AA1EM,0.0132909252669039,0.0132909252669039,0.0160865213523131,0.0160865213523131,0.0344182606761565,0.0344182606761565
ID_2DV3A1,0.117375,0.1973050234142188,0.26015625,0.4755387931034483,0.335765625,0.6076385962111536
ID_KZY5B8,0.3365988888888889,0.3365988888888889,0.5734236111111111,0.5734236111111111,0.7318734722222222,0.7318734722222222
ID_T8WZT2,0.0196795112781954,0.0196795112781954,0.0207530545112781,0.0207530545112781,0.0213215460526315,0.0213215460526315
ID_3CX56O,0.07825,0.3365988888888889,0.1734375,0.5734236111111111,0.22384375,0.7318734722222222
ID_ARP4MA,0.0132909252669039,0.0132909252669039,0.0160865213523131,0.0160865213523131,0.0344182606761565,0.0344182606761565
ID_NT05CR,0.021340909090909,0.005,0.0473011363636363,0.005,0.0610482954545454,0.0056909427966101
ID_404ITE,0.7123981481481481,0.2597421353670162,0.9081597222222222,0.4128127979027645,0.9137604166666669,0.4960372378455672
ID_19GWB0,0.0138088235294117,0.005,0.0306066176470588,0.005,0.0395018382352941,0.0061048295454545
ID_OZDQ0S,0.499016129032258,0.2731765550239234,0.7755040322580645,0.4670245215311004,0.8820342741935483,0.6500890550239234
ID_IFU0ME,0.202171875,0.2731765550239234,0.40751953125,0.4670245215311004,0.791970703125,0.6500890550239234
ID_NGW1MM,0.0196795112781954,0.0196795112781954,0.0207530545112781,0.0207530545112781,0.0213215460526315,0.0213215460526315
ID_6PHY97,0.0090288461538461,0.0090288461538461,0.0200120192307692,0.0200120192307692,0.025828125,0.025828125
ID_UHZGFQ,0.0173888888888888,0.005,0.0385416666666666,0.0057177197802197,0.0497430555555555,0.0073794642857142
ID_8XAP2C,0.1973050234142188,0.1973050234142188,0.4755387931034483,0.4755387931034483,0.6076385962111536,0.6076385962111536
ID_8NCWT0,0.04695,0.0196795112781954,0.1040624999999999,0.0207530545112781,0.13430625,0.0213215460526315
ID_70GY45,0.117375,0.0196795112781954,0.26015625,0.0207530545112781,0.335765625,0.0213215460526315
ID_K5QWCP,0.31925,0.31925,0.7171875,0.7171875,0.7387901785714286,0.7387901785714286
ID_TEWWHE,0.0426818181818181,0.1973050234142188,0.0946022727272727,0.4755387931034483,0.1220965909090909,0.6076385962111536
ID_H9JSB0,0.0426818181818181,0.1973050234142188,0.0946022727272727,0.4755387931034483,0.1220965909090909,0.6076385962111536
ID_8F9HQT,0.0132909252669039,0.0132909252669039,0.0160865213523131,0.0160865213523131,0.0344182606761565,0.0344182606761565
ID_FXTMQX,0.001,0.001,0.001,0.001,0.001,0.001
ID_XFTVP0,0.1793155339805825,0.1973050234142188,0.4081614077669903,0.4755387931034483,0.682942354368932,0.6076385962111536
ID_T3M4VB,0.0196795112781954,0.0196795112781954,0.0207530545112781,0.0207530545112781,0.0213215460526315,0.0213215460526315
ID_S68SEU,0.00626,0.00626,0.053875,0.053875,0.0579075,0.0579075
ID_S2FLP8,0.0536847826086956,0.1973050234142188,0.718274456521739,0.4755387931034483,0.7900665760869565,0.6076385962111536
ID_Y72GVR,0.023475,0.0075289634146341,0.20203125,0.0184165396341463,0.217153125,0.0193386051829268
ID_VFUS6O,0.001,0.001,0.001,0.001,0.001,0.001
ID_WQQ0XM,0.039125,0.1973050234142188,0.08671875,0.4755387931034483,0.111921875,0.6076385962111536
